stop_id,stop_name,stop_lat,stop_lon,zone_id
"at:42:3654:0:8","Villach Hbf","46.6186273031435","13.8488865627092",""
"at:42:3654:0:9","Villach Hbf 1","46.617997950322","13.8494255518798",""
"at:42:3655:0:1","Villach Landskron Bahnhst","46.629806351704","13.8756743244854",""
"at:42:3655:0:2","Villach Landskron Bahnhst","46.6298001828878","13.8756833076382",""
"at:42:3656:0:1","Villach Westbahnhof","46.6083531289848","13.8403346012032",""
"at:42:3656:0:2","Villach Westbahnhof","46.6083654715044","13.8402447696748",""
"at:42:3656:0:3","Villach Westbahnhof 1","46.6091800715795","13.8410532534306",""
"at:42:3657:0:1","Villach Warmbad Bahnhst","46.5890645067452","13.8286834519666",""
"at:42:3657:0:2","Villach Warmbad Bahnhst","46.589101547479","13.8288002329535",""
"at:42:3657:0:3","Villach Warmbad Bahnhst","46.5890830271153","13.8288900644819",""
"at:42:3657:0:4","Villach Warmbad Bahnhst 1","46.5884595045097","13.8280725975733",""
"at:42:3657:0:5","Villach Warmbad Bahnhst 2","46.5879964880332","13.8280366649619",""
"at:42:3659:0:1","Fürnitz Bahnhof","46.5631853701609","13.8131156480906",""
"at:42:3659:0:2","Fürnitz Bahnhof","46.5632409577743","13.8131156480906",""
"at:42:3659:0:3","Fürnitz Bahnhof","46.5630433126682","13.8141487106675",""
"at:42:3660:0:1","Neuhaus an der Gail Bahnhst","46.5549330660153","13.7785844085642",""
"at:42:3661:0:1","Pöckau Bahnhst","46.5520667026661","13.744960467475",""
"at:42:3661:0:2","Pöckau Bahnhst","46.5519987482496","13.7449335180164",""
"at:42:3662:0:1","Arnoldstein Bahnhof","46.5514242211463","13.7079498777641",""
"at:42:3662:0:3","Arnoldstein Bahnhof","46.5516157308565","13.7063957923224",""
"at:42:3662:0:4","Arnoldstein Bahnhof 1","46.551251244053","13.7072851244538",""
"at:42:3663:0:1","Thörl-Maglern Bahnhof","46.5404081867626","13.6482478439732",""
"at:42:3715:0:3","Wolfsberg Bahnhof 1","46.8414317766053","14.838758140724",""
"at:42:3718:0:3","St. Andrä Bahnhof 1","46.7628087783441","14.8411656256858",""
"at:42:3720:0:4","St. Paul im Lavanttal Bahnhof 1","46.7054879212646","14.8675581287369",""
"at:42:3720:0:5","St. Paul im Lavanttal Bahnhof 2","46.7054879212646","14.8675671118897",""
"at:42:3800:0:1","St. Veit an der Glan Westbahnhof","46.7625134027838","14.3614113649821",""
"at:42:3802:0:1","Liebenfels Bahnhst","46.7360830448766","14.2926093973618",""
"at:42:3803:0:1","Tauchendorf-Haidensee Bahnhst","46.728485150973","14.237066563337",""
"at:42:3804:0:1","Glanegg in Ktn Bahnhst","46.7178253614022","14.2115633924173",""
"at:42:3804:0:2","Glanegg in Ktn Bahnhst","46.717849996504","14.2114915271945",""
"at:42:3804:0:3","Glanegg in Ktn Bahnhst","46.7169076958503","14.2110872853166",""
"at:42:3805:0:1","Mautbrücken Bahnhst","46.7214958675488","14.1890875440055",""
"at:42:3806:0:1","St.Martin-Sittich Bahnhst (Bundesstraße)","46.732438159662","14.1530022190374",""
"at:42:3806:0:2","St.Martin-Sittich Bahnhst (Bundesstraße)","46.7320071603262","14.1522386510458",""
"at:42:3806:0:3","St.Martin-Sittich Bahnhst (Bundesstraße) 1","46.7326167155206","14.1532178147056",""
"at:42:3806:0:4","St.Martin-Sittich Bahnhst (Bundesstraße) 2","46.7327090717673","14.1531908652471",""
"at:42:3807:0:1","Feldkirchen in Kärnten Bahnhof","46.7215697677928","14.0997321226817",""
"at:42:3807:0:2","Feldkirchen in Kärnten Bahnhof","46.7215143426194","14.0997411058345",""
"at:42:3807:0:3","Feldkirchen in Kärnten Bahnhof 1","46.7217976262412","14.0989685546901",""
"at:42:3808:0:1","Tiffen Bahnhst","46.701668471539","14.0604667616073",""
"at:42:3809:0:1","Steindorf am Ossiachersee Bahnhof","46.6985079806172","14.0146886147222",""
"at:42:3809:0:2","Steindorf am Ossiachersee Bahnhof","46.6984833366863","14.0147155641808",""
"at:42:3809:0:3","Steindorf am Ossiachersee Bahnhof 1","46.6982122527036","14.0125596074986",""
"at:42:3810:0:1","Ossiach-Bodensdorf Bahnhof","46.6828568203505","13.9744171405296",""
"at:42:3810:0:2","Ossiach-Bodensdorf Bahnhof","46.6828321692772","13.9744530731409",""
"at:42:3811:0:1","St. Urban am Ossiacher See Bahnhst","46.6748507929956","13.9600979948987",""
"at:42:3812:0:1","Sattendorf Bahnhof","46.6628796005259","13.9171585243118",""
"at:42:3812:0:2","Sattendorf Bahnhof","46.6628487752902","13.9171585243118",""
"at:42:3812:0:4","Sattendorf Bahnhof","46.6634344517637","13.916062579665",""
"at:42:3812:0:5","Sattendorf Bahnhof","46.6634961015497","13.9155864725644",""
"at:42:3813:0:1","Annenheim Bahnhst","46.6585453998948","13.9009349502784",""
"at:42:3814:0:1","Villach St. Ruprecht Bahnhof","46.6416430147855","13.8758360212366",""
"at:42:3814:0:2","Villach St. Ruprecht Bahnhof","46.6416553497174","13.8758719538479",""
"at:42:3814:0:3","Villach St. Ruprecht Bahnhof 1","46.6401566349003","13.8755305940399",""
"at:42:3814:0:4","Villach St. Ruprecht Bahnhof 2","46.6398605875572","13.875584492957",""
"at:42:3819:0:1","Klagenfurt Ebenthal Bahnhst g1","46.6166404977643","14.3333210460438",""
"at:42:3819:0:2","Klagenfurt Ebenthal Bahnhst g2","46.6165849648897","14.3334737596421",""
"at:42:3820:0:1","Grafenstein Bahnhof","46.6189666570215","14.4593097646591",""
"at:42:3820:0:2","Grafenstein Bahnhof","46.6191270781144","14.459372646729",""
"at:42:3820:0:3","Grafenstein Bahnhof","46.6191579282701","14.4603518103888",""
"at:42:3821:0:1","Tainach-Stein Bahnhof g1","46.6166466680802","14.5468236396502",""
"at:42:3821:0:2","Tainach-Stein Bahnhof g2","46.6166158164937","14.5468685554144",""
"at:42:3822:0:1","Völkermarkt-Kühnsdorf Bahnhof g1","46.622026915918","14.6299717023599",""
"at:42:3822:0:2","Völkermarkt-Kühnsdorf Bahnhof g2","46.6220454250222","14.6295854267877",""
"at:42:3822:0:4","Völkermarkt-Kühnsdorf Bahnhof 1","46.6218048061745","14.6300345844298",""
"at:42:3822:0:5","Völkermarkt-Kühnsdorf Bahnhof 2","46.6218294850799","14.6300705170411",""
"at:42:3823:0:1","Mittlern Bahnhst","46.5986510387203","14.7154194521972",""
"at:42:3823:0:2","Mittlern Bahnhst","46.5984658674301","14.7160392897433",""
"at:42:3824:0:1","St. Michael ob Bleiburg Bahnhst","46.5826992981071","14.7503190009901",""
"at:42:3825:0:1","Bleiburg Bahnhof","46.5742770588353","14.7865211069452",""
"at:42:3825:0:2","Bleiburg Bahnhof","46.5742029570834","14.7865121237923",""
"at:42:3825:0:3","Bleiburg Bahnhof","46.5741473807031","14.7864851743338",""
"at:42:3825:0:5","Bleiburg Bahnhof 1","46.5745919901511","14.7865750058622",""
"at:42:3826:0:3","Bleiburg Stadt Bahnhst 1","46.5899349572978","14.7944622140579",""
"at:42:3842:0:1","Klagenfurt Süd Bahnhst","46.6111239540767","14.3021944214447",""
"at:42:3843:0:2","Maria Rain Bahnhst","46.5627591965667","14.2840664190087",""
"at:42:3844:0:1","Weizelsdorf Bahnhof","46.5395369411569","14.2429145958374",""
"at:42:3847:0:1","Köttmannsdorf Lambichl Bahnhst","46.5799887641562","14.2828626765278",""
"at:42:3861:0:1","Lendorf Bahnhst","46.8276168178814","13.418027602927",""
"at:42:3862:0:2","Möllbrücke-Sachsenburg Bahnhof","46.8310770363511","13.3669134632535",""
